"Folder Name","Folder Path","File name","Download Link","Preview Link","File Size","Created At","Image Link"
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0153-54.jpg","https://drive.google.com/uc?id=1N8gRuvm0o7lYKZIO9WiXPzYxfgyv8Xav&export=download","https://drive.google.com/uc?id=1N8gRuvm0o7lYKZIO9WiXPzYxfgyv8Xav&export=view","2.1 MB","August 16, 2023 at 11:56:29 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0154-55.jpg","https://drive.google.com/uc?id=1LRfMyKCY0EH_4RBXFnopUAtc2b6kOIiQ&export=download","https://drive.google.com/uc?id=1LRfMyKCY0EH_4RBXFnopUAtc2b6kOIiQ&export=view","7.37 MB","August 16, 2023 at 11:56:33 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0157-58.jpg","https://drive.google.com/uc?id=1E6bil9LHIV7fOGdXDAKY4-_LUwtDMGWo&export=download","https://drive.google.com/uc?id=1E6bil9LHIV7fOGdXDAKY4-_LUwtDMGWo&export=view","5.59 MB","August 16, 2023 at 11:56:37 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0159-59.jpg","https://drive.google.com/uc?id=1sEfTREPFV4PqWmDr89wAj4OsUJnXBzoP&export=download","https://drive.google.com/uc?id=1sEfTREPFV4PqWmDr89wAj4OsUJnXBzoP&export=view","8.81 MB","August 16, 2023 at 11:56:41 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0160-60.jpg","https://drive.google.com/uc?id=1o0-8nXwKxwwaWPuaXjoAg4PReH7hIE13&export=download","https://drive.google.com/uc?id=1o0-8nXwKxwwaWPuaXjoAg4PReH7hIE13&export=view","8.97 MB","August 16, 2023 at 11:56:48 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0161-61.jpg","https://drive.google.com/uc?id=1XMF7deD95MuwRRfebHWztm2SAUvnBhSk&export=download","https://drive.google.com/uc?id=1XMF7deD95MuwRRfebHWztm2SAUvnBhSk&export=view","8.98 MB","August 16, 2023 at 11:56:53 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0151-53.jpg","https://drive.google.com/uc?id=1BKKM9mDnn1_5EVRfrciNFPyWwyJeLtz4&export=download","https://drive.google.com/uc?id=1BKKM9mDnn1_5EVRfrciNFPyWwyJeLtz4&export=view","8.67 MB","August 16, 2023 at 11:56:25 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0148-50.jpg","https://drive.google.com/uc?id=1RJv-6aKCSCA83UQY69jEqeA97nolnzTS&export=download","https://drive.google.com/uc?id=1RJv-6aKCSCA83UQY69jEqeA97nolnzTS&export=view","3.19 MB","August 16, 2023 at 11:56:03 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0259-92.jpg","https://drive.google.com/uc?id=1IjZ6AdOf9DzWvJt-1-fZOH3BqrnXgNK8&export=download","https://drive.google.com/uc?id=1IjZ6AdOf9DzWvJt-1-fZOH3BqrnXgNK8&export=view","9.7 MB","August 13, 2023 at 9:19:37 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0256-91.jpg","https://drive.google.com/uc?id=1zuYZvmCojYuaKiKtw1GROJW-ex_I_M2O&export=download","https://drive.google.com/uc?id=1zuYZvmCojYuaKiKtw1GROJW-ex_I_M2O&export=view","9.45 MB","August 13, 2023 at 9:19:32 PM",""
